player_id,gameweek,form,average_points,xG,xA,average_minutes,fixture_difficulty,actual_points
201,1,3.8,0.00,0.00,0.00,0.00,3,2
201,2,3.8,2.00,0.00,0.00,90.00,3,1
201,3,3.8,1.50,0.00,0.00,90.00,3,4
201,4,3.8,2.33,0.00,0.00,90.00,3,1
201,5,3.8,2.00,0.00,0.00,90.00,3,9
201,6,3.8,3.40,0.00,0.00,90.00,3,1
461,1,0.8,0.00,0.00,0.00,0.00,3,1
461,2,0.8,1.00,0.00,0.00,90.00,3,2
461,3,0.8,1.50,0.00,0.00,82.50,3,0
461,4,0.8,1.00,0.00,0.00,73.33,3,1
461,5,0.8,1.00,0.00,0.00,57.25,3,2
461,6,0.8,1.20,0.00,0.00,63.80,2,0
350,1,3.2,0.00,0.00,0.00,0.00,3,7
350,2,3.2,7.00,0.00,0.00,90.00,3,2
350,3,3.2,4.50,0.00,0.00,90.00,3,2
350,4,3.2,3.67,0.00,0.00,89.00,3,1
350,5,3.2,3.00,0.00,0.00,78.00,3,1
350,6,3.2,2.60,0.00,0.00,80.40,3,9
3,1,6.2,0.00,0.00,0.00,0.00,3,6
3,2,6.2,6.00,0.00,0.00,90.00,3,6
3,3,6.2,6.00,0.00,0.00,90.00,3,2
3,4,6.2,4.67,0.00,0.00,90.00,3,15
3,5,6.2,7.25,0.00,0.00,90.00,3,7
3,6,6.2,7.20,0.00,0.00,90.00,3,1
328,1,8.8,0.00,0.00,0.00,0.00,3,14
328,2,8.8,14.00,0.00,0.00,90.00,3,10
328,3,8.8,12.00,0.00,0.00,86.00,3,17
328,4,8.8,13.67,0.00,0.00,87.33,3,2
328,5,8.8,10.75,0.00,0.00,88.00,3,6
328,6,8.8,9.80,0.00,0.00,88.40,3,10
309,1,1.8,0.00,0.00,0.00,0.00,3,2
309,2,1.8,2.00,0.00,0.00,90.00,3,2
309,3,1.8,2.00,0.00,0.00,90.00,3,1
309,4,1.8,1.67,0.00,0.00,90.00,3,2
309,5,1.8,1.75,0.00,0.00,90.00,3,2
309,6,1.8,1.80,0.00,0.00,90.00,3,2
317,1,2.8,0.00,0.00,0.00,0.00,3,8
317,2,2.8,8.00,0.00,0.00,78.00,3,6
317,3,2.8,7.00,0.00,0.00,74.50,3,3
317,4,2.8,5.67,0.00,0.00,74.67,3,1
317,5,2.8,4.50,0.00,0.00,70.75,3,0
317,6,2.8,3.60,0.00,0.00,56.60,3,7
398,1,3.8,0.00,0.00,0.00,0.00,3,3
398,2,3.8,3.00,0.00,0.00,69.00,3,10
398,3,3.8,6.50,0.00,0.00,78.50,3,2
398,4,3.8,5.00,0.00,0.00,82.33,3,2
398,5,3.8,4.25,0.00,0.00,84.25,3,2
398,6,3.8,3.80,0.00,0.00,83.80,3,9
58,1,8.2,0.00,0.00,0.00,0.00,3,2
58,2,8.2,2.00,0.00,0.00,61.00,3,2
58,3,8.2,2.00,0.00,0.00,62.50,3,5
58,4,8.2,3.00,0.00,0.00,61.67,3,13
58,5,8.2,5.50,0.00,0.00,67.00,3,6
58,6,8.2,5.60,0.00,0.00,71.60,3,9
351,1,10.2,0.00,0.00,0.00,0.00,3,7
351,2,10.2,7.00,0.00,0.00,90.00,3,17
351,3,10.2,12.00,0.00,0.00,89.50,3,17
351,4,10.2,13.67,0.00,0.00,89.67,3,13
351,5,10.2,13.50,0.00,0.00,89.75,3,9
351,6,10.2,12.60,0.00,0.00,89.80,3,2
129,1,2.2,0.00,0.00,0.00,0.00,3,2
129,2,2.2,2.00,0.00,0.00,81.00,3,8
129,3,2.2,5.00,0.00,0.00,85.50,3,8
129,4,2.2,6.00,0.00,0.00,87.00,3,0
129,5,2.2,4.50,0.00,0.00,65.25,3,1
129,6,2.2,3.80,0.00,0.00,56.00,3,0
91,1,2.5,0.00,0.00,0.00,0.00,3,4
91,2,2.5,4.00,0.00,0.00,90.00,3,3
91,3,2.5,3.50,0.00,0.00,90.00,3,3
91,4,2.5,3.33,0.00,0.00,90.00,3,2
91,5,2.5,3.00,0.00,0.00,90.00,3,3
91,6,2.5,3.00,0.00,0.00,90.00,3,2
442,1,0,0.00,0.00,0.00,0.00,3,2
442,2,0,2.00,0.00,0.00,90.00,3,2
442,3,0,2.00,0.00,0.00,77.50,3,0
442,4,0,1.33,0.00,0.00,70.67,3,0
442,5,0,1.00,0.00,0.00,53.00,3,0
442,6,0,0.80,0.00,0.00,42.40,3,0
333,1,0,0.00,0.00,0.00,0.00,3,1
333,2,0,1.00,0.00,0.00,45.00,3,0
333,3,0,0.50,0.00,0.00,22.50,3,0
333,4,0,0.33,0.00,0.00,15.00,3,0
333,5,0,0.25,0.00,0.00,11.25,3,0
333,6,0,0.20,0.00,0.00,9.00,3,0
116,1,0,0.00,0.00,0.00,0.00,3,0
116,2,0,0.00,0.00,0.00,0.00,3,0
116,3,0,0.00,0.00,0.00,0.00,3,0
116,4,0,0.00,0.00,0.00,0.00,3,0
116,5,0,0.00,0.00,0.00,0.00,3,0
116,6,0,0.00,0.00,0.00,0.00,3,0
